"","StateAbb","CCode","StateNme"
"1","GNB","404","Guinea-Bissau"
"2","GAM","420","Gambia"
"3","MLI","432","Mali"
"4","SEN","433","Senegal"
"5","BEN","434","Benin"
"6","MAA","435","Mauritania"
"7","NIR","436","Niger"
"8","CDI","437","Cote d'Ivoire"
"9","GUI","438","Guinea"
"10","BFO","439","Burkina Faso"
"11","LBR","450","Liberia"
"12","SIE","451","Sierra Leone"
"13","GHA","452","Ghana"
"14","TOG","461","Togo"
"15","CAO","471","Cameroon"
"16","NIG","475","Nigeria"
"17","GAB","481","Gabon"
"18","CEN","482","Central African Republic"
"19","CHA","483","Chad"
"20","CON","484","Congo, Brazzaville"
"21","DRC","490","Congo, Kinshasa"
"22","UGA","500","Uganda"
"23","KEN","501","Kenya"
"24","TAZ","510","Tanzania"
"25","BUI","516","Burundi"
"26","RWA","517","Rwanda"
"27","SOM","520","Somalia"
"28","DJI","522","Djibouti"
"29","ETH","530","Ethiopia"
"30","ANG","540","Angola"
"31","MZM","541","Mozambique"
"32","ZAM","551","Zambia"
"33","ZIM","552","Zimbabwe"
"34","MAW","553","Malawi"
"35","SAF","560","South Africa"
"36","NAM","565","Namibia"
"37","LES","570","Lesotho"
"38","BOT","571","Botswana"
"39","SWA","572","Swaziland"
"40","MAG","580","Madagascar"
"41","SUD","625","Sudan"
